Listing ID,Operator,Location,County,ST,API Number,State ID,Latitude,Longitude,Section,Township,Range,Volume,API,Quality,Price Component(s),Bid Amount,Term Start,Term Duration,Evergreen,Royalty Distributions,Title Transfer,General Terms and Conditions,Miscellaneous
336173,"Bonanza Creek Energy Resources, LLC",Bodcaw H 1,Lafayette,AR,03-073-10352,,33.23458,-93.51381,29,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 24433
336207,"Bonanza Creek Energy Resources, LLC",Bodcaw H 2,Lafayette,AR,03-073-11497,,33.23434,-93.51381,29,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 46205
336241,"Bonanza Creek Energy Resources, LLC",Bodcaw L 1,Lafayette,AR,03-073-10384,,33.24389,-93.51105,29,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 24728
336275,"Bonanza Creek Energy Resources, LLC",Bodcaw N 1,Lafayette,AR,03-073-10363,,33.24001,-93.50693,29,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 24523
336309,"Bonanza Creek Energy Resources, LLC",Bodcaw Q 1,Lafayette,AR,03-073-10410,,33.23036,-93.5009,32,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 25144
336343,"Bonanza Creek Energy Resources, LLC",Bodcaw U 1,Lafayette,AR,03-073-10396,,33.23989,-93.50272,29,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 24867
336377,"Bonanza Creek Energy Resources, LLC",Cassie McWilliams 2,Columbia,AR,03-027-11683,,33.17424,-93.333,13,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 37810
336411,"Bonanza Creek Energy Resources, LLC",Cassie McWilliams 3,Columbia,AR,03-027-11729,,33.17369,-93.33781,13,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 40173
336445,"Bonanza Creek Energy Resources, LLC",Cassie McWilliams 4,Columbia,AR,03-027-11762,,33.17586,-93.33758,13,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 41534
336479,"Bonanza Creek Energy Resources, LLC",Cloette 1,Columbia,AR,03-027-10342,,33.17477,-93.32764,18,18S,21W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 23365
336513,"Bonanza Creek Energy Resources, LLC",Cornelius D 1,Lafayette,AR,03-073-10375,,33.23471,-93.51859,30,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 24654
336547,"Bonanza Creek Energy Resources, LLC",Cornelius G 1,Lafayette,AR,03-073-10349,,33.24069,-93.51791,30,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 24413
336581,"Bonanza Creek Energy Resources, LLC",Dodson Heirs 1,Columbia,AR,03-027-11427,,33.16059,-93.29795,20,18S,21W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 34343
336615,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 11,Columbia,AR,03-027-01237,,33.18312,-93.37044,15,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 7563
336649,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 12,Columbia,AR,03-027-01231,,33.18307,-93.37429,15,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 7492
336683,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 18,Columbia,AR,03-027-01226,,33.17916,-93.36208,14,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 7679
336717,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 21,Columbia,AR,03-027-01234,,33.17568,-93.36835,15,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 7897
336751,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 22,Columbia,AR,03-027-10384,,33.17952,-93.3529,14,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 23629
336785,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 23,Columbia,AR,03-027-10410,,33.18254,-93.34898,14,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 23752
336819,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 24,Columbia,AR,03-027-10418,,33.18008,-93.35986,14,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 23794
336853,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 25,Columbia,AR,03-027-10420,,33.17546,-93.35708,14,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 23806
336887,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 27,Columbia,AR,03-027-10441,,33.17954,-93.36596,15,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 23917
336921,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 28,Columbia,AR,03-027-10442,,33.17924,-93.37317,15,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 23918
336955,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 30,Columbia,AR,03-027-10448,,33.1819,-93.36837,15,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 23988
336989,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 33,Columbia,AR,03-027-10629,,33.18507,-93.35575,11,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 24948
337023,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 34,Columbia,AR,03-027-10652,,33.18537,-93.36341,11,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 25048
337057,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 35,Columbia,AR,03-027-10660,,33.18345,-93.38531,16,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 25098
337091,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 36,Columbia,AR,03-027-11651,,33.18064,-93.35113,14,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 36533
337125,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 39,Columbia,AR,03-027-11768,,33.18321,-93.35109,14,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 42739
337159,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 42,Columbia,AR,03-027-11775,,33.17741,-93.35629,14,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 43281
337193,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 46,Columbia,AR,03-027-11783,,33.18333,-93.35448,14,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 43472
337227,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 53,Columbia,AR,03-027-11817,,33.18319,-93.34784,14,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 44540
337261,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 70,Columbia,AR,03-027-11924,,33.17414,-93.35886,14,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 46467
337295,"Bonanza Creek Energy Resources, LLC",Dorcheat Unit 8,Columbia,AR,03-027-01228,,33.18288,-93.35707,14,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 7686
337329,"Bonanza Creek Energy Resources, LLC",Foreman Ford 2,Columbia,AR,03-027-11181,,33.15875,-93.28671,21,18S,21W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 29903
337363,"Bonanza Creek Energy Resources, LLC",Formby 3,Columbia,AR,03-027-11682,,33.18163,-93.34061,13,18S,22W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 37775
337397,"Bonanza Creek Energy Resources, LLC",Franks 1-21,Columbia,AR,03-027-10223,,33.16562,-93.28228,21,18S,21W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 22816
337431,"Bonanza Creek Energy Resources, LLC",Franks 3-21,Columbia,AR,03-027-11703,,33.16803,-93.2818,21,18S,21W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 38608
337465,"Bonanza Creek Energy Resources, LLC",Franks-Norwood 6,Columbia,AR,03-027-11912,,33.17237,-93.27959,16,18S,21W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 46324
337499,"Bonanza Creek Energy Resources, LLC",Franks-Warnock 1,Columbia,AR,03-027-10355,,33.17298,-93.26882,15,18S,21W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 23431
337533,"Bonanza Creek Energy Resources, LLC",Franks-Warnock 2,Columbia,AR,03-027-11184,,33.17328,-93.26386,15,18S,21W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 29984
337567,"Bonanza Creek Energy Resources, LLC",Hanes A 1,Lafayette,AR,03-073-10378,,33.23375,-93.52713,30,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 24685
337601,"Bonanza Creek Energy Resources, LLC",Heritage Energy 1,Columbia,AR,03-027-11379,,33.17408,-93.30653,17,18S,21W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 33247
337635,"Bonanza Creek Energy Resources, LLC",Heritage-Willis-Jameson 1,Columbia,AR,03-027-11400,,33.16719,-93.31117,20,18S,21W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: Dorcheat-Macedonia; Permit: 33626
337669,"Bonanza Creek Energy Resources, LLC",IPB Alf 1,Lafayette,AR,03-073-10597,,33.24816,-93.5144,30,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 26485
337703,"Bonanza Creek Energy Resources, LLC",James Lime Unit 11 - INJ,Lafayette,AR,03-073-10272,,33.24043,-93.52599,30,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 23439
337737,"Bonanza Creek Energy Resources, LLC",James Lime Unit 12 - INJ,Lafayette,AR,03-073-10105,,33.23841,-93.51799,30,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 21992
337771,"Bonanza Creek Energy Resources, LLC",James Lime Unit 14-P,Lafayette,AR,03-073-10111,,33.23475,-93.51796,30,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 22013
337805,"Bonanza Creek Energy Resources, LLC",James Lime Unit 18-L,Lafayette,AR,03-073-10150,,33.22906,-93.514,32,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 22266
337839,"Bonanza Creek Energy Resources, LLC",James Lime Unit 19-L,Lafayette,AR,03-073-10259,,33.22956,-93.50756,32,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 23353
337873,"Bonanza Creek Energy Resources, LLC",James Lime Unit 20 - INJ,Lafayette,AR,03-073-10176,,33.22735,-93.51052,32,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 22424
337907,"Bonanza Creek Energy Resources, LLC",James Lime Unit 21-L,Lafayette,AR,03-073-10203,,33.22594,-93.50211,32,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 22731
337941,"Bonanza Creek Energy Resources, LLC",James Lime Unit 22-L,Lafayette,AR,03-073-10202,,33.22362,-93.50741,32,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 22730
337975,"Bonanza Creek Energy Resources, LLC",James Lime Unit 25,Lafayette,AR,03-073-10350,,33.24035,-93.52196,30,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 24414
